"Email - Preview and Send","Email - Preview and Send"
"All Templates","All Templates"
"Overridden Templates","Overridden Templates"
"Email Template","Email Template"
"Template Data","Template Data"
"Send copy to","Send copy to"
"Preview/Send","Preview/Send"
"Email Preview","Email Preview"
"Code","Code"
"No email template loaded.","No email template loaded."
"Loading template, please wait...","Loading template, please wait..."
"Could not load email template of type %1 with ID  %2","Could not load email template of type %1 with ID  %2"
"Entity of type %1 with ID %2 not found","Entity of type %1 with ID %2 not found"
"An error ocurred with the request.","An error ocurred with the request."
"Please select an email template","Please select an email template"
"Please select an entity type for the specified entity ID","Please select an entity type for the specified entity ID"
"Invalid email address found:","Invalid email address found:"